Presidency	First	Last	Party	Portrait	Thumbnail	Home State
1	George	Washington	Independent	GeorgeWashington.jpg	thmb_GeorgeWashington.jpg	Virginia
2	John	Adams	Federalist	JohnAdams.jpg	thmb_JohnAdams.jpg	Massachusetts
3	Thomas	Jefferson	Democratic-Republican	Thomasjefferson.gif	thmb_Thomasjefferson.gif	Virginia
4	James	Madison	Democratic-Republican	JamesMadison.gif	thmb_JamesMadison.gif	Virginia
5	James	Monroe	Democratic-Republican	JamesMonroe.gif	thmb_JamesMonroe.gif	Virginia
6	John	Adams	Democratic-Republican/National Republican	JohnQuincyAdams.gif	thmb_JohnQuincyAdams.gif	Massachusetts
7	Andrew	Jackson	Democratic	Andrew_jackson_head.gif	thmb_Andrew_jackson_head.gif	Tennessee
8	Martin	Buren	Democratic	MartinVanBuren.gif	thmb_MartinVanBuren.gif	New York
9	William	Henry	Whig	WilliamHenryHarrison.gif	thmb_WilliamHenryHarrison.gif	Ohio
10	John	Tyler	Whig	JohnTyler.jpg	thmb_JohnTyler.jpg	Virginia
11	James	Polk	Democratic	JamesKPolk.gif	thmb_JamesKPolk.gif	Tennessee
12	Zachary	Taylor	Whig	ZacharyTaylor.jpg	thmb_ZacharyTaylor.jpg	Louisiana
13	Millard	Fillmore	Whig	MillardFillmore.png	thmb_MillardFillmore.png	New York
14	Franklin	Pierce	Democratic	FranklinPierce.gif	thmb_FranklinPierce.gif	New Hampshire
15	James	Buchanan	Democratic	JamesBuchanan.gif	thmb_JamesBuchanan.gif	Pennsylvania
16	Abraham	Lincoln	Republican/National Union	AbrahamLincoln.jpg	thmb_AbrahamLincoln.jpg	Illinois
17	Andrew	Johnson	Democratic/National Union	AndrewJohnson.gif	thmb_AndrewJohnson.gif	Tennessee
18	Ulysses	Grant	Republican	UlyssesSGrant.gif	thmb_UlyssesSGrant.gif	Ohio
19	Rutherford	Hayes	Republican	RutherfordBHayes.png	thmb_RutherfordBHayes.png	Ohio
20	James	Garfield	Republican	James_Garfield.jpg	thmb_James_Garfield.jpg	Ohio
21	Chester	Arthur	Republican	ChesterAArthur.gif	thmb_ChesterAArthur.gif	New York
22	Grover	Cleveland	Democratic	Grover_Cleveland_2.jpg	thmb_Grover_Cleveland_2.jpg	New York
23	Benjamin	Harrison	Republican	BenjaminHarrison.gif	thmb_BenjaminHarrison.gif	Indiana
24	Grover	Cleveland	Democratic	Grover_Cleveland.jpg	thmb_Grover_Cleveland.jpg	New York
25	William	McKinley	Republican	WilliamMcKinley.gif	thmb_WilliamMcKinley.gif	Ohio
26	Theodore	Roosevelt	Republican	TheodoreRoosevelt.jpg	thmb_TheodoreRoosevelt.jpg	New York
27	William	Taft	Republican	WilliamHowardTaft.jpg	thmb_WilliamHowardTaft.jpg	Ohio
28	Woodrow	Wilson	Democratic	WoodrowWilson.gif	thmb_WoodrowWilson.gif	New Jersey
29	Warren	Harding	Republican	WarrenGHarding.gif	thmb_WarrenGHarding.gif	Ohio
30	Calvin	Coolidge	Republican	CoolidgeWHPortrait.gif	thmb_CoolidgeWHPortrait.gif	Massachusetts
31	Herbert	Hoover	Republican	HerbertHover.gif	thmb_HerbertHover.gif	Iowa
32	Franklin	Roosevelt	Democratic	FranklinDRoosevelt.gif	thmb_FranklinDRoosevelt.gif	New York
33	Harry	Truman	Democratic	HarryTruman.jpg	thmb_HarryTruman.jpg	Missouri
34	Dwight	Eisenhower	Republican	Dwight_D_Eisenhower.jpg	thmb_Dwight_D_Eisenhower.jpg	Texas
35	John	Kennedy	Democratic	John_F_Kennedy.jpg	thmb_John_F_Kennedy.jpg	Massachusetts
36	Lyndon	Johnson	Democratic	Lyndon_B_Johnson.gif	thmb_Lyndon_B_Johnson.gif	Texas
37	Richard	Nixon	Republican	RichardNixon.gif	thmb_RichardNixon.gif	California
38	Gerald	Ford	Republican	Gerald_R_Ford.jpg	thmb_Gerald_R_Ford.jpg	Michigan
39	Jimmy	Carter	Democratic	James_E_Carter.gif	thmb_James_E_Carter.gif	Georgia
40	Ronald	Reagan	Republican	ReaganWH.jpg	thmb_ReaganWH.jpg	California
41	George	Bush	Republican	George_H_W_Bush.gif	thmb_George_H_W_Bush.gif	Texas
42	Bill	Clinton	Democratic	Clinton.jpg	thmb_Clinton.jpg	Arkansas
43	George	Bush	Republican	George_W_Bush.jpg	thmb_George_W_Bush.jpg	Texas
44	Barack	Obama	Democratic	Barack_Obama.jpg	thmb_Barack_Obama.jpg	Illinois